Appareil suivi;Consommation annuelle  AN1;Consommation annuelle AN2;Type;Consommation sur les 2 années
Plaques cuisson;705;55,2;46,2;760.2
Congélateur;503;418,8;457,8;921.8
Sèche linge;1009;376,0;455,6;1385.0
Sèche linge;311;448,6;454,0;759.6
Lave linge;207;39,5;45,4;246.5
Congélateur;308;441,5;449,0;749.5
Téléviseurs;602;380,6;448,4;982.6
Lave linge;902;440,7;442,0;1342.7
Lave linge;909;55,7;44,9;964.7
Lave linge;101;39,8;44,6;140.8
Téléviseurs;1005;50,8;44,5;1055.8
Téléviseurs;1010;354,9;434,3;1364.9
Plaques cuisson;1010;398,5;431,0;1408.5
Téléviseurs;907;48,6;43,7;955.6
Lave linge;1001;58,8;43,4;1059.8
Eau chaude sanitaire;1001;754,4;423,7;1755.4
Periph_multimedia;911;42,9;42,9;953.9
Téléviseurs;703;33,2;42,9;736.2
Périph_Internet_réseaux;803;44,4;42,8;847.4
Téléviseurs;1006;34,8;42,7;1040.8
Lave linge;908;37,4;42,6;945.4
Congélateur;709;194,4;42,2;903.4
Sécurité;1007;40,2;42,1;1047.2
Sèche linge;1004;405,5;411,8;1409.5
Téléviseurs;804;412,0;409,8;1216.0
Congélateur;406;201,3;409,0;607.3
Piscines;911;2734,2;4086,3;3645.2
Chaudières;608;318,6;403,0;926.6
Sécurité;410;39,9;40,9;449.9
Lave linge;1005;38,1;40,3;1043.1
Repassage;705;45,0;40,0;750.0
Téléviseurs;406;0,0;40,0;406.0
Hifi;506;4,5;4,9;510.5
Téléviseurs;510;3,5;4,7;513.5
Hifi;1002;4,1;4,6;1006.1
Hifi;1005;5,1;4,5;1010.1
Imprimantes;407;51,1;4,1;458.1
Hifi;709;3,6;4,0;712.6
Téléviseurs;905;388,1;398,5;1293.1
Téléviseurs;1004;47,2;39,9;1051.2
Sécurité;410;224,2;39,8;634.2
Lave linge;407;120,6;39,4;527.6
Nettoyage_sols;805;51,4;39,3;856.4
Lave linge;504;36,9;39,1;540.9
Loisirs;803;36,8;38,3;839.8
Eau chaude sanitaire;810;2885,9;3766,3;3695.9
Congélateur;407;388,0;372,2;795.0
Loisirs;105;52,7;37,6;157.7
Poêles;407;38,1;37,1;445.1
Lave linge;1003;40,8;37,1;1043.8
Plaques cuisson;703;270,4;369,9;973.4
Sèche linge;1011;485,4;365,8;1496.4
Chaudières;1004;613,3;364,9;1617.3
Téléviseurs;1011;553,7;364,3;1564.7
Téléviseurs;102;311,0;36,6;413.0
Sèche linge;303;108,5;36,2;411.5
Sèche linge;502;218,4;359,5;720.4
Sèche linge;210;226,1;357,6;436.1
Sèche linge;902;287,6;353,8;1189.6
Sèche linge;705;99,5;35,6;804.5
Nettoyage_sols;410;33,9;35,4;443.9
Téléviseurs;803;295,9;346,8;1098.9
Téléviseurs;704;334,7;346,0;1038.7
Téléviseurs;311;350,8;345,2;661.8
Plaques cuisson;1011;307,9;344,8;1318.9
Repassage;303;38,3;34,4;341.3
Téléviseurs;202;49,0;34,2;251.0
Congélateur;709;302,3;337,6;1011.3
Lave linge;502;326,2;335,1;828.2
Téléviseurs;201;37,6;33,6;238.6
Lave linge;506;33,6;33,4;539.6
Téléviseurs;602;47,1;32,4;649.1
Hifi;607;31,8;32,1;638.8
Congélateur;803;303,3;319,1;1106.3
Lave linge;508;330,2;318,0;838.2
Téléviseurs;103;274,3;314,7;377.3
Eau chaude sanitaire;503;3344,4;3137,4;3847.4
Congélateur;804;295,0;312,1;1099.0
Mobilité_électrique;1006;9,2;31,0;1015.2
Téléviseurs;706;634,2;307,5;1340.2
Congélateur;105;337,0;307,1;442.0
Chaudières;603;347,2;307,0;950.2
Plaques cuisson;306;212,0;306,2;518.0
Téléviseurs;909;26,2;30,6;935.2
Téléviseurs;1002;24,9;30,3;1026.9
Lave linge;405;13,3;3,8;418.3
Nettoyage_sols;409;2,9;3,7;411.9
Divers cuisine;201;3,0;3,6;204.0
Hifi;203;3,2;3,5;206.2
Nettoyage_sols;1006;8,6;3,5;1014.6
Nettoyage_sols;105;7,1;3,4;112.1
Imprimantes;1007;1,9;3,4;1008.9
Nettoyage_sols;305;3,3;3,1;308.3
Sécurité;1007;2,4;3,1;1009.4
Eau chaude sanitaire;801;2820,7;2944,6;3621.7
Plaques cuisson;706;212,0;292,8;918.0
Repassage;911;42,2;29,9;953.2
Lave linge;507;19,6;29,7;526.6
Sèche linge;508;259,8;288,3;767.8
Téléviseurs;206;307,8;287,4;513.8
Lave linge;601;222,9;285,2;823.9
Lave linge;801;134,3;282,4;935.3
Téléviseurs;912;73,6;28,6;985.6
Chaudières;404;287,3;279,2;691.3
Congélateur;607;286,2;273,9;893.2
Congélateur;205;267,4;271,3;472.4
Repassage;302;33,7;27,9;335.7
Loisirs;503;24,8;27,3;527.8
Periph_multimedia;601;51,5;27,1;652.5
Sécurité;1007;28,7;27,1;1035.7
Congélateur;902;259,6;268,3;1161.6
Piscines;902;206,5;268,3;1108.5
Eau chaude sanitaire;709;2303,6;2674,1;3012.6
Cuisinières;409;151,4;267,5;560.4
Lave linge;410;29,1;26,9;439.1
Téléviseurs;205;22,5;26,6;227.5
Téléviseurs;911;20,1;26,2;931.1
Poêles;508;38,7;26,1;546.7
Congélateur;303;262,7;258,5;565.7
Lave linge;206;247,0;256,7;453.0
Cuisinières;302;286,3;256,0;588.3
Cuisinières;303;255,8;253,8;558.8
Téléviseurs;902;201,5;250,1;1103.5
Repassage;604;38,1;25,9;642.1
Téléviseurs;302;33,6;25,5;335.6
Santé;407;25,0;25,0;432.0
Téléviseurs;209;277,0;248,9;486.0
Cuisinières;606;136,9;248,7;742.9
Lave linge;1011;244,6;247,8;1255.6
Cuisinières;311;236,1;247,0;547.1
Eau chaude sanitaire;202;829,8;246,0;1031.8
Congélateur;1010;237,9;242,3;1247.9
Eau chaude sanitaire;807;2331,8;2418,7;3138.8
Congélateur;1006;235,0;241,6;1241.0
Divers cuisine;903;18,9;24,9;921.9
Periph_multimedia;604;25,9;24,1;629.9
Eau chaude sanitaire;1006;2210,8;2397,7;3216.8
Téléviseurs;301;393,0;238,9;694.0
Téléviseurs;402;108,6;236,1;510.6
Sèche linge;105;268,3;235,9;373.3
Téléviseurs;807;184,2;235,5;991.2
Sèche linge;903;234,7;235,2;1137.7
Congélateur;602;209,1;232,0;811.1
Plaques cuisson;803;170,3;230,7;973.3
Congélateur;403;200,8;230,6;603.8
Sèche linge;803;228,8;230,4;1031.8
Lave linge;305;93,7;230,2;398.7
Téléviseurs;406;24,6;23,2;430.6
Imprimantes;204;11,1;23,2;215.1
Sécurité;608;23,4;23,0;631.4
Téléviseurs;205;214,8;228,8;419.8
Cuisinières;1005;215,2;228,7;1220.2
Congélateur;607;231,3;228,2;838.3
Eau chaude sanitaire;805;2129,8;2257,2;2934.8
Chaudières;508;235,4;225,5;743.4
Eau chaude sanitaire;406;2436,4;2245,1;2842.4
Congélateur;311;308,2;222,7;619.2
Congélateur;911;223,3;220,4;1134.3
Repassage;903;23,7;22,7;926.7
Lave linge;204;11,9;22,5;215.9
Hifi;302;23,0;22,0;325.0
Chaudières;102;175,2;216,8;277.2
Plaques cuisson;902;246,2;216,8;1148.2
Eau chaude sanitaire;510;2160,4;2153,0;2670.4
Chaudières;403;273,4;215,5;676.4
Eau chaude sanitaire;703;1951,9;2119,4;2654.9
Lave linge;807;174,3;211,3;981.3
Congélateur;604;30,8;210,2;634.8
Divers cuisine;1011;15,4;21,8;1026.4
Téléviseurs;1011;11,3;21,8;1022.3
Divers cuisine;601;17,8;21,1;618.8
Congélateur;101;115,9;208,8;216.9
Congélateur;1003;220,8;206,7;1223.8
Téléviseurs;207;180,0;205,5;387.0
Lave linge;1004;216,6;205,0;1220.6
Chaudières;607;201,5;203,6;808.5
Congélateur;601;589,8;201,1;1190.8
Téléviseurs;603;66,8;200,8;669.8
Imprimantes;1006;3,7;20,8;1009.7
Divers cuisine;308;27,2;20,3;335.2
Imprimantes;404;14,7;20,1;418.7
Lave linge;303;25,6;20,0;328.6
Divers cuisine;902;26,5;2,8;928.5
Nettoyage_sols;402;1,6;2,8;403.6
Imprimantes;206;61,6;2,6;267.6
Imprimantes;1004;3,0;2,6;1007.0
Hifi;707;0,6;2,5;707.6
Hifi;305;2,9;2,5;307.9
Plaques cuisson;309;4,7;2,4;313.7
Nettoyage_sols;508;3,9;2,2;511.9
Hifi;1001;1,9;2,2;1002.9
Imprimantes;210;3,8;2,0;213.8
Chaudières;702;196,2;199,0;898.2
Chaudières;604;233,2;196,7;837.2
Congélateur;1007;166,8;196,6;1173.8
Téléviseurs;907;258,0;195,7;1165.0
Téléviseurs;1006;208,6;195,2;1214.6
Téléviseurs;302;169,5;190,5;471.5
Nettoyage_sols;604;19,5;19,9;623.5
Plaques cuisson;608;15,7;19,1;623.7
Eau chaude sanitaire;306;2029,4;1899,8;2335.4
Eau chaude sanitaire;706;1694,0;1896,7;2400.0
Lave linge;1006;172,0;188,8;1178.0
Clim_mob_rafraich_Déshum;601;3,8;188,0;604.8
Lave linge;105;199,0;187,5;304.0
Eau chaude sanitaire;502;1929,7;1852,7;2431.7
Téléviseurs;605;136,5;184,2;741.5
Plaques cuisson;1007;180,5;182,8;1187.5
Congélateur;503;225,0;182,4;728.0
Téléviseurs;702;151,8;180,8;853.8
Congélateur;1011;178,7;180,2;1189.7
Repassage;704;11,2;18,3;715.2
